case_id,artifact_kind,expected_difficulty,generation_time_basis,reviewer_1,reviewer_1_decision,reviewer_2,reviewer_2_decision,adjudication,notes
golden-cs-basic-08,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-09,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-09,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-09,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-10,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-10,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-10,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-11,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-11,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-11,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-12,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-12,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-12,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-13,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-13,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-13,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-14,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-14,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-14,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-15,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-15,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-15,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-16,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-16,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-16,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-17,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-17,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-17,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-18,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-18,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-18,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-01,lesson,beginner,生成前任务：knowledge_state=known，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-01,lab,beginner,生成前任务：knowledge_state=known，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-01,assessment,beginner,生成前任务：knowledge_state=known，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-02,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-02,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-02,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-03,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-03,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-03,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-04,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-04,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-04,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-05,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-05,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-05,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-06,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-06,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-06,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-07,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-07,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-07,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-08,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-08,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-08,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-09,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-09,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-09,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-10,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-10,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-10,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-11,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-11,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-11,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-12,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-12,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-12,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-13,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-13,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-13,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-14,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-14,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-14,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-15,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-15,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-15,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-16,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-16,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-16,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-17,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-17,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-17,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-18,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cross-major-18,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-18,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-01,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-01,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-01,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-02,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-02,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-02,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-03,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-03,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-03,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-04,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-04,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-04,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-05,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-05,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-05,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-06,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-06,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-06,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-07,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-07,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-07,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-08,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-08,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-08,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-09,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-09,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-09,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-10,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-10,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-10,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-11,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-11,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-11,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-12,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-12,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-12,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-13,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-13,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-13,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-14,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-14,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-14,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-15,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-15,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-15,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-16,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-16,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-16,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-17,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-17,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-17,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-18,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-zero-beginner-18,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-18,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-19,lesson,basic,生成前任务：knowledge_state=weak+unobserved，behavior=explain，target_count=3；讲义多目标组合下限=basic,,,,,,
golden-cs-basic-19,lab,basic,生成前任务：knowledge_state=weak+unobserved，behavior=explain，target_count=3；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-19,assessment,basic,生成前任务：knowledge_state=weak+unobserved，behavior=explain，target_count=3；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-20,lesson,basic,生成前任务：knowledge_state=unobserved+weak，behavior=explain，target_count=3；讲义多目标组合下限=basic,,,,,,
golden-cross-major-20,lab,basic,生成前任务：knowledge_state=unobserved+weak，behavior=explain，target_count=3；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-20,assessment,basic,生成前任务：knowledge_state=unobserved+weak，behavior=explain，target_count=3；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-21,lesson,basic,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=3；讲义多目标组合下限=basic,,,,,,
golden-zero-beginner-21,lab,basic,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=3；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-21,assessment,basic,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=3；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-22,lesson,basic,生成前任务：knowledge_state=unobserved+weak，behavior=explain，target_count=3；讲义多目标组合下限=basic,,,,,,
golden-cs-basic-22,lab,basic,生成前任务：knowledge_state=unobserved+weak，behavior=explain，target_count=3；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-22,assessment,basic,生成前任务：knowledge_state=unobserved+weak，behavior=explain，target_count=3；测评按可观测操作和目标组合定档,,,,,,
golden-cross-major-23,lesson,basic,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=3；讲义多目标组合下限=basic,,,,,,
golden-cross-major-23,lab,basic,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=3；实验按可观测操作和目标组合定档,,,,,,
golden-cross-major-23,assessment,basic,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=3；测评按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-24,lesson,basic,生成前任务：knowledge_state=weak+unobserved，behavior=explain，target_count=3；讲义多目标组合下限=basic,,,,,,
golden-zero-beginner-24,lab,basic,生成前任务：knowledge_state=weak+unobserved，behavior=explain，target_count=3；实验按可观测操作和目标组合定档,,,,,,
golden-zero-beginner-24,assessment,basic,生成前任务：knowledge_state=weak+unobserved，behavior=explain，target_count=3；测评按可观测操作和目标组合定档,,,,,,
